model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,step,train_time
closure_se1_s0,5000,0.8011224865913391,0.044242631644010544,-0.024167172610759735,1.5626157522201538,-0.00018455050303600729,0.05697179585695267,3.022290846881849,0.09268748637555355,0.08403808044731864,0.04990743936786901,6790,600.3030401542783
closure_se1_s0,5000,0.8034542798995972,0.03972297161817551,0.06218666955828667,1.404860496520996,0.003046487458050251,0.05079382285475731,2.942410357082076,0.09252593771902275,0.08432520809887376,0.054162669672247366,13590,1200.5228849425912
closure_se1_s0,5000,0.8016541004180908,0.03878737986087799,0.004464340396225452,1.3764417171478271,0.0008560741553083062,0.049645036458969116,2.9054127717374305,0.0921730308300218,0.0837194273515868,0.08411745758360406,20390,1800.0315578728914
closure_se1_s0,5000,0.8028450012207031,0.038230396807193756,0.04450898617506027,1.3513407707214355,0.0023789326660335064,0.04888879880309105,2.897319189279853,0.09219973559725662,0.08401658997918968,0.08257300709670279,27200,2400.282589904964
closure_se1_s0,5000,0.8019325137138367,0.03805681690573692,0.017982549965381622,1.3455466032028198,0.0012549692764878273,0.04851178079843521,2.8656824027932393,0.09102608420979555,0.082982171484345,0.1029721557258515,33990,3000.0451787412167
closure_se1_s0,5000,0.8032553195953369,0.03800799325108528,0.0638987198472023,1.3544421195983887,0.0029084791895002127,0.04848731309175491,2.8949032852633323,0.09212350941898544,0.08374319030140132,0.11263783018258433,40790,3600.4345485195518
closure_se1_s0,5000,0.804233968257904,0.03755195811390877,0.10138248652219772,1.3412142992019653,0.004157450050115585,0.04790422320365906,2.885255389592367,0.09208234961339244,0.08398671354140977,0.12322969289478053,47590,4200.421788930893
closure_se1_s0,5000,0.8048998117446899,0.037092309445142746,0.12511253356933594,1.3241137266159058,0.005015257745981216,0.047326404601335526,2.873462179098878,0.09206020651329518,0.08377098407459124,0.13336245793039855,54380,4800.589405782521
closure_se1_s0,5000,0.8056600689888,0.03714471310377121,0.15269875526428223,1.3313138484954834,0.0059587364085018635,0.04744665324687958,2.889990094968371,0.09256675957660389,0.08391950225993236,0.14887964679715568,61160,5400.2219735607505
closure_se1_s0,5000,0.807232141494751,0.03734845668077469,0.2057686746120453,1.3459995985031128,0.007901867851614952,0.04784703254699707,2.876138008170007,0.09150885145380404,0.08310469472459246,0.14584590918806334,67940,6000.4746349826455
closure_se1_s0,5000,0.8071033954620361,0.03707127273082733,0.20236386358737946,1.3294340372085571,0.007758209947496653,0.04748816415667534,2.866443730784528,0.09119655738279508,0.08260322899768091,0.1437284379064482,74720,6600.141145594418
closure_se1_s0,5000,0.8068921566009521,0.03730896860361099,0.1941191703081131,1.3345067501068115,0.007483656983822584,0.04769791290163994,2.8837409490081445,0.09187556295291424,0.08339332945724733,0.14498543412035259,81500,7200.107796758413
