model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,step,train_time
closure_null_se1_s0,5000,1.0006557703018188,0.008653742261230946,0.018983250483870506,0.30286192893981934,0.0006182881188578904,0.008639154955744743,0.2777364078120949,0.003662325646799047,0.003293145330894205,0.0037498947350569634,6900,600.6633141860366
closure_null_se1_s0,5000,0.998511791229248,0.007087231148034334,-0.055246613919734955,0.2501363754272461,-0.0015144293429329991,0.007254079915583134,0.2394303730193088,0.0032924254748004124,0.0028865550813773396,0.0038092775249753963,13790,1200.5472162812948
closure_null_se1_s0,5000,0.9972268342971802,0.006859635002911091,-0.09355534613132477,0.25761473178863525,-0.002800694666802883,0.007429904770106077,0.2509648110886716,0.0034192895186830057,0.0030228645681622847,0.00436951983651418,20690,1800.7264574095607
closure_null_se1_s0,5000,0.9980153441429138,0.006163462530821562,-0.06656941771507263,0.2226935476064682,-0.002005757996812463,0.006501312833279371,0.22467512110946164,0.0033278702274431382,0.0029204400251893166,0.006093835654727042,27580,2400.3771314397454
closure_null_se1_s0,5000,0.9992189407348633,0.006131259258836508,-0.027094876393675804,0.21371105313301086,-0.0008002694812603295,0.006193951237946749,0.21824965690007717,0.0033635047411798603,0.0029315071594639367,0.006502573692963642,34470,3000.105179987848
closure_null_se1_s0,5000,0.9979462027549744,0.006342330016195774,-0.07145528495311737,0.23308785259723663,-0.0020761906635016203,0.006704828701913357,0.2220736313744634,0.0032549787838162514,0.002802839346911887,0.007580686992330832,41380,3600.4321989640594
closure_null_se1_s0,5000,0.9982180595397949,0.006127010099589825,-0.060557905584573746,0.22488179802894592,-0.0018024094169959426,0.006405232939869165,0.21943209353874418,0.0033039573576368283,0.0028677733853675214,0.008305262202208563,48290,4200.614222638309
closure_null_se1_s0,5000,0.9990237355232239,0.00621501449495554,-0.039115630090236664,0.22640137374401093,-0.000996125745587051,0.006306673400104046,0.21569003153056152,0.0032323178209458753,0.002769882699956886,0.008851012540859904,55200,4800.631248600781
closure_null_se1_s0,5000,0.9989601373672485,0.006094976793974638,-0.04075824096798897,0.22132191061973572,-0.0010589101584628224,0.006189750041812658,0.21719759650687046,0.003339054451895518,0.0028833206139118085,0.00699442710293996,62100,5400.781406827271
closure_null_se1_s0,5000,0.9987906217575073,0.006024956703186035,-0.04447709769010544,0.22030556201934814,-0.001228338573127985,0.006161852739751339,0.21761230148641672,0.0033829282545459615,0.0029615659890172502,0.007415827877707337,69010,6000.628174811602
closure_null_se1_s0,5000,0.9991424083709717,0.006048159208148718,-0.032528821378946304,0.21843726933002472,-0.0008763279183767736,0.006116142496466637,0.21961058753348542,0.0034851689196725728,0.0029884025778764544,0.005991135094341848,75910,6600.257397539914
closure_null_se1_s0,5000,0.9992152452468872,0.006147078238427639,-0.03269108757376671,0.22067049145698547,-0.0008039508829824626,0.006199970375746489,0.22320685427879522,0.0035513327282126633,0.0030079212752751605,0.003695764926337719,82830,7200.721681684256
