label,method,step,train_time,examples,net,nfe,solver,decode,samples,n_events,l1_sig,l1_bkg,n_jets,jes,bias,jer,jer_iqr,jer_cal,eval_time
ext_condcfm_s0,condcfm,27580,10801.902165301144,7060480,ema,8,midpoint,direct,1,20000,0.03612880954742432,0.03767214584350586,16720,0.9745660474575818,-0.745837792540281,5.127080645712265,4.61263458670467,5.504551511817544,56.85162487998605
ext_condcfm_s0,condcfm,27580,10801.902165301144,7060480,ema,8,midpoint,direct,4,20000,0.03341851743062337,0.03403019091288249,16720,0.9749087969516125,-0.7347791110784814,4.244734133863607,3.7334207431575472,4.526848904592607,228.27794564329088
ext_condcfm_s0,condcfm,27580,10801.902165301144,7060480,ema,8,midpoint,direct,16,20000,0.032422767957051596,0.032587878290812174,16720,0.9745651067823878,-0.7430376984571156,4.007590971253286,3.558687318953167,4.267168134167192,910.2664626911283
