model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,step,train_time
closure_paired_s0,5000,0.7995970845222473,0.001667219796217978,-0.016559436917304993,0.06602276861667633,-0.0005060198600403965,0.0021483725868165493,0.047730671044374604,0.0005539662287585402,0.0004806535013113626,0.00225151356328342,7480,600.7030128911138
closure_paired_s0,5000,0.8001828193664551,0.0010554386535659432,0.004719776101410389,0.03896942362189293,0.00022760940191801637,0.0013392978580668569,0.030947690865302458,0.00037452896380195855,0.00032274264214492707,0.002317191062392542,14950,1200.7230872288346
closure_paired_s0,5000,0.8000802993774414,0.000862321350723505,0.002421008190140128,0.031361572444438934,9.977738955058157e-05,0.0010825723875313997,0.025440544076684665,0.00032760543980069843,0.00028070031463449374,0.0016234910041558331,22420,1800.1366267129779
closure_paired_s0,5000,0.800004780292511,0.0007153088808991015,-0.00013253898941911757,0.02628929726779461,5.502150543179596e-06,0.0008944983710534871,0.020912054383815198,0.0002683991065414926,0.0002321967552263733,0.001375670949925533,29910,2400.325273036957
closure_paired_s0,5000,0.7998493313789368,0.0006214655004441738,-0.0051057119853794575,0.02325698360800743,-0.00018876955437008291,0.0007997842039912939,0.018861679363817246,0.0002381176675904149,0.00020616930526274943,0.001171755617990225,37400,3000.622238665819
closure_paired_s0,5000,0.7995926737785339,0.0005664486670866609,-0.013596341013908386,0.025057436898350716,-0.0005095851956866682,0.0008728636312298477,0.020166596389355303,0.00021461828601298025,0.0001871896450610425,0.00041718892144513783,44880,3600.11101077497
closure_paired_s0,5000,0.7994787693023682,0.0005278243334032595,-0.017350884154438972,0.026494257152080536,-0.0006520286551676691,0.0009280857630074024,0.02151099686530753,0.00019718265375686146,0.000171713426337928,0.0010238235619550971,52390,4200.767679296434
closure_paired_s0,5000,0.7995269298553467,0.0005002191755920649,-0.015715081244707108,0.02473600022494793,-0.0005917160888202488,0.0008613353711552918,0.01979172188680955,0.00018574741529992357,0.00016194099019781546,0.0007606048227834436,59870,4800.369856610894
closure_paired_s0,5000,0.7995328903198242,0.00047006283421069384,-0.015493890270590782,0.02370700240135193,-0.0005842008977197111,0.0008289679535664618,0.019170937561789687,0.0001757849373827012,0.0001524667352300771,0.000725904590238316,67360,5400.771464079618
closure_paired_s0,5000,0.7995468378067017,0.00044819124741479754,-0.015041226521134377,0.022839844226837158,-0.0005668269004672766,0.0007973251631483436,0.018491747227861344,0.00016720015741959683,0.0001457141451574579,0.0007497332792341209,74840,6000.495742164552
closure_paired_s0,5000,0.7995820641517639,0.0004280843713786453,-0.013919944874942303,0.021590175107121468,-0.000522689544595778,0.0007483590161427855,0.017160749284322253,0.00015498897903758966,0.00013510036681461734,0.0007402689717272981,82340,6600.36741618067
closure_paired_s0,5000,0.7996634840965271,0.00041929617873393,-0.011269914917647839,0.019613035023212433,-0.00042094854870811105,0.0006725635612383485,0.015240286375586956,0.00015607424606637216,0.00013462140017019236,0.0013991386428815443,89830,7200.727534204721
