batch,repeat,cost,energy_rank_corr,median_ratio,ratio_iqr,shape_emd,axis_dr
256,0,random,-0.07325331883726252,0.7813313603401184,0.32942214608192444,0.4547455131786261,1.7934772222793938
256,0,full,0.13371766994735637,0.7985119819641113,0.28381872177124023,0.4490580948286968,1.5231064227628053
256,0,centred,0.04905656328679331,0.807054877281189,0.3224111646413803,0.21247339878494992,1.6907792291184145
256,0,shape+E l=0,0.06004234378576333,0.7937086820602417,0.2888675481081009,0.1928398771949547,1.780865701150902
256,0,shape+E l=1,0.9487118047608145,0.7952142953872681,0.07173746824264526,0.22707481027327223,1.6883270440952696
256,1,random,-0.038147316319523915,0.8149814009666443,0.32383325695991516,0.44506334795013575,1.7007576860810547
256,1,full,0.04796292057679102,0.8354483842849731,0.32734818756580353,0.4325256278012509,1.5859944561112644
256,1,centred,0.13733048180361637,0.8174768090248108,0.26317594945430756,0.20851836773494115,1.7471316137452573
256,1,shape+E l=0,0.017942463950560764,0.8105273246765137,0.31345003843307495,0.19448233188580638,1.8070977669600858
256,1,shape+E l=1,0.9532015335317005,0.8214201927185059,0.06597153842449188,0.22410431927135877,1.690959754653054
256,2,random,-0.10150492103456167,0.7890918254852295,0.2855478972196579,0.4285197376016994,1.653269367406
256,2,full,0.055053358892195,0.7814516425132751,0.2951509654521942,0.4310577474897098,1.5856403520718476
256,2,centred,0.09348392080567633,0.7990682125091553,0.28151457011699677,0.21116873762232327,1.7412727835198316
256,2,shape+E l=0,0.04343671320668344,0.7914958000183105,0.29725413024425507,0.19277880462426517,1.6443070687068984
256,2,shape+E l=1,0.9560325589379719,0.7928613424301147,0.062217503786087036,0.22708995387473233,1.7320545307585806
256,3,random,0.10867976081483176,0.8114128112792969,0.262619212269783,0.44034604627697005,1.645997817883621
256,3,full,0.1055404554818036,0.806216835975647,0.2883857786655426,0.43484581302922337,1.4286253170976666
256,3,centred,0.13284790569924468,0.8061407804489136,0.2768260985612869,0.2118368806395804,1.6900706196167645
256,3,shape+E l=0,-0.029464694438086515,0.8165966272354126,0.29592376947402954,0.19304960491117523,1.766472120384634
256,3,shape+E l=1,0.9583814946211945,0.8004337549209595,0.06197658181190491,0.22525907422422298,1.7435834717790826
1024,0,random,-0.04938772946707733,0.806336522102356,0.31246306002140045,0.44441140963516057,1.695702283350704
1024,0,full,0.05740313879495817,0.7970912456512451,0.29844342172145844,0.44194372949457594,1.4355723253218424
1024,0,centred,0.1925373279823324,0.798130214214325,0.2758300304412842,0.19118489770997477,1.7203702841919837
1024,0,shape+E l=0,0.08470820355725013,0.8053551912307739,0.2733343690633774,0.16809124056403035,1.7196326534726256
1024,0,shape+E l=1,0.9765231859770716,0.7978266477584839,0.04726490378379822,0.19602798721562076,1.7016994387385709
1024,1,random,-0.0045783339889850505,0.8017200231552124,0.3066990077495575,0.4422246871859965,1.6812253891792
1024,1,full,0.14103574717473713,0.8042333722114563,0.2749817669391632,0.44383441941387997,1.3448132949536857
1024,1,centred,0.13257316849653097,0.8058709502220154,0.27372632920742035,0.19145441474573396,1.7047868123052488
1024,1,shape+E l=0,0.08554827757313496,0.8079000115394592,0.29723553359508514,0.16663680963583316,1.6997663898713986
1024,1,shape+E l=1,0.9771807944710678,0.8049662113189697,0.046331197023391724,0.19609763150772513,1.6838473000573955
1024,2,random,-0.014530534743580573,0.7930222749710083,0.3156140446662903,0.43365934164718656,1.7106868825746717
1024,2,full,0.13383668013732922,0.7948814630508423,0.2955001890659332,0.4345451767232765,1.3546930904980776
1024,2,centred,0.15540025302195837,0.7936325669288635,0.2843446582555771,0.1953592558770597,1.692815237357748
1024,2,shape+E l=0,0.08256907812388241,0.7892255783081055,0.2943369597196579,0.16901300781437711,1.7183783721132593
1024,2,shape+E l=1,0.9760968457191903,0.7958112955093384,0.0447365939617157,0.19603145452172255,1.6732550510348385
1024,3,random,-0.03627692269866247,0.8114804029464722,0.32038769125938416,0.4482904310348269,1.6588035811929576
1024,3,full,0.08093812584936699,0.8191162347793579,0.2913138270378113,0.4430209720667634,1.3902503411181213
1024,3,centred,0.14094487608182532,0.8141531944274902,0.28119346499443054,0.1900910430682914,1.7459056782090534
1024,3,shape+E l=0,0.061418107610328294,0.809424638748169,0.3009313642978668,0.16729614491129013,1.6625546909853182
1024,3,shape+E l=1,0.9741122103211499,0.809872031211853,0.04902346432209015,0.19423461468193573,1.7083367633280238
