batch,repeat,plan,decode,plan_time,hit,n_jets,jes,bias,jer,jer_iqr,jer_cal,partners,sb_err,plan_mass
256,0,random,direct,0.0,0.05309734493494034,226,0.10873794793447648,-28.88520377927122,9.804226646452554,7.279264564598994,-113.08636847410699,,,
256,0,random,mixture,0.0,0.6681416034698486,226,0.9909663807126932,-0.33306027302699803,13.063177283911473,13.236566151929308,13.740422736823994,,,
256,0,ot,direct,0.0566881000995636,0.03097345121204853,226,0.06561345884388643,-30.037603091349645,7.626778372842843,6.360687795968476,91.29395601080226,,,
256,0,ot,mixture,0.0566881000995636,0.7035398483276367,226,0.9491486670733943,-1.6484903149900183,8.36929835494319,8.68526257966694,9.213651501070848,,,
256,0,sb,direct,0.29218921065330505,0.02654867246747017,226,0.06741739013744091,-29.99744384056699,7.917514940132303,6.922473370189398,129.97838433673073,1.5784672640479855,0.0009458402637392282,0.9999990275736312
256,0,sb,mixture,0.29218921065330505,0.712389349937439,226,0.9474646691396676,-1.7028067766037662,8.232363613345353,8.619578526230368,9.08015127700065,1.5784672640479855,0.0009458402637392282,0.9999990275736312
256,0,ot-sum,direct,0.007355596870183945,0.06637167930603027,226,0.15793169446500488,-27.262587488225076,11.07637035207945,7.575665693799154,-23165.925664742757,,,
256,0,ot-sum,mixture,0.007355596870183945,0.7168141603469849,226,0.9561027278677835,-1.554163569897677,7.970032730918737,8.27628546418571,9.699596279582577,,,
256,1,random,direct,0.0,0.03139013797044754,223,0.08029938008853976,-30.69202654885604,8.749008418848495,7.368135841092505,-120.6855558522776,,,
256,1,random,mixture,0.0,0.7130045294761658,223,1.0364855596736313,1.1555457521447152,11.827558635287344,11.961177687365714,12.297411747067988,,,
256,1,ot,direct,0.011844076216220856,0.008968610316514969,223,0.07524668424602118,-30.677257597713727,8.084592523812965,7.469368829295934,54.47142872822006,,,
256,1,ot,mixture,0.011844076216220856,0.6502242684364319,223,0.9644497078054469,-1.0947541891192107,7.6417303532158325,7.493947328153233,7.0954985297132005,,,
256,1,sb,direct,0.025703009217977524,0.008968610316514969,223,0.06469821319265838,-31.05459857307742,7.817742973280648,7.339669122264684,70.26024442091676,1.6247820625503036,0.0008357956539839506,1.0000004246876997
256,1,sb,mixture,0.025703009217977524,0.6591928601264954,223,0.9688890500966071,-0.9874742191468654,7.729081227280681,7.643367379925886,7.367388721780715,1.6247820625503036,0.0008357956539839506,1.0000004246876997
256,1,ot-sum,direct,0.012258850038051605,0.11210762709379196,223,0.18551865787224495,-26.936813012366873,11.173590613881151,8.873275688968825,37.12532617362051,,,
256,1,ot-sum,mixture,0.012258850038051605,0.6591928601264954,223,0.9525965754108665,-1.4010605234736284,8.072159652363737,7.835544419341656,7.125251996545829,,,
256,2,random,direct,0.0,0.043478257954120636,230,0.09482040070608468,-30.013606494405995,9.18367774942031,8.21386539467712,203.8473801085553,,,
256,2,random,mixture,0.0,0.7434782385826111,230,0.9743518390016972,-0.8103342470915421,12.812958695831881,12.292437062076147,12.583607554217512,,,
