name,reference,observable,jewel,val,delta,fraction
OT-CFM-unet-s0,full,core,0.3874560594558716,0.37752264738082886,0.009933412075042725,0.5253104408030878
OT-CFM-unet-s0,full,et,25.104310989379883,25.661457061767578,-0.5571460723876953,0.34115966606401216
OT-CFM-unet-s0,full,girth,0.1992729902267456,0.20174473524093628,-0.002471745014190674,0.48740611887495444
OT-CFM-unet-s0,full,mass,4.85219144821167,5.124924182891846,-0.2727327346801758,0.39633463120760515
OT-CFM-unet-s0,full,n1,5.3533525466918945,6.00713586807251,-0.6537833213806152,0.6501163358038787
OT-CFM-unet-s0,full,ptd,0.35328418016433716,0.32212623953819275,0.03115794062614441,0.6321236474622838
OT-CFM-unet-s0,full,rg,0.3024962468968118,0.30910428891748076,-0.006608042020668947,0.246873592101516
OT-CFM-unet-s0,full,zg,0.1976778282306303,0.21135737865679544,-0.013679550426165143,1.4345655598718807
OT-CFM-unet-s0,full,zlead,0.27556276321411133,0.23728448152542114,0.038278281688690186,0.6772375123712324
"OT-CFM-unet-s0, thr0.5",thr,core,0.44929206371307373,0.4366713762283325,0.012620687484741211,0.6838694466290184
"OT-CFM-unet-s0, thr0.5",thr,et,19.834142684936523,20.26487159729004,-0.4307289123535156,0.34642531160115053
"OT-CFM-unet-s0, thr0.5",thr,girth,0.18273383378982544,0.18574906885623932,-0.0030152350664138794,0.6050382729338596
"OT-CFM-unet-s0, thr0.5",thr,mass,3.033968925476074,3.316561460494995,-0.2825925350189209,0.46753248290062244
"OT-CFM-unet-s0, thr0.5",thr,n1,5.3533525466918945,6.00713586807251,-0.6537833213806152,0.6501163358038787
"OT-CFM-unet-s0, thr0.5",thr,ptd,0.44491589069366455,0.4049798846244812,0.03993600606918335,0.7774586143096757
"OT-CFM-unet-s0, thr0.5",thr,rg,0.2437943269171258,0.2627235114584833,-0.01892918454135753,0.6564189985528278
"OT-CFM-unet-s0, thr0.5",thr,zg,0.22677610646526863,0.23555294075752958,-0.008776834292260949,1.294725563461236
"OT-CFM-unet-s0, thr0.5",thr,zlead,0.35029280185699463,0.30191707611083984,0.048375725746154785,0.8048636330279596
OT-CFM-unet-s1,full,core,0.387551873922348,0.37752068042755127,0.010031193494796753,0.5304814334413973
