model,readout,l1_sig,l1_in,l1_out,abs_err_out_gev,step,mse_sig,mse_in,mse_out,n_jets,jes,bias,jer,jer_iqr,jer_cal,jet_in_region,truth
empty image,-,0.04914237785339355,0.6340424513482055,0.02853140840030706,42.33251142578125,,,,,,,,,,,,val
ext_otcfm1_s0,coarse,0.15428387603759766,0.2739416417508406,0.15006732314499643,222.6573109375,6850.0,0.07038831481933594,0.20598313406873608,0.0656101652049484,17542.0,0.9439103599410359,-1.8657088616516528,3.443602592437466,3.3305668671808037,3.684915859857175,,val
ext_otcfm1_s0,converged,0.05114918530782064,0.3099468796217068,0.04202955773835177,62.35993359375,6850.0,0.03434649435679118,0.4619201627644698,0.019279463143997002,17542.0,0.6977191256315742,-9.794835865613114,3.503429092246833,3.4155559327710194,4.096453095866048,,val
ext_otcfm1_s0,coarse_thr0.5,0.0648418716430664,0.2527191970899893,0.05822136774190265,86.38398359375,6850.0,0.05378564618428548,0.21960023836904824,0.04794259846614698,17542.0,0.7897710900597463,-6.698330922105567,3.4311432149130208,3.3434649765093827,3.610577177480948,,val
ext_otcfm1_s0,seeded8_zero_thr0.5,0.05314123560587565,0.25272229858697404,0.046108308777802615,68.4116423828125,6850.0,0.0445109001159668,0.21961295814891332,0.03834057601646885,17542.0,0.7897505787591194,-6.698558665860435,3.43128432813742,3.3434649765093827,3.6103591066657628,0.9999429939573595,val
ext_otcfm1_s0,seeded10_zero_thr0.7,0.03843730144500732,0.25502023702034066,0.030805255623481284,45.7062552734375,6850.0,0.034255564053853355,0.23315133382936365,0.02724678669901753,17542.0,0.7271947176353357,-8.66269286795253,3.463480190350152,3.3453094066735813,3.625319548243495,0.9998859879147189,val
ext_otcfm1_s1,coarse,0.15736731491088868,0.2748163829733632,0.15322859234859376,227.347737109375,2270.0,0.07315113677978516,0.20704348881902584,0.06843297839305382,17542.0,0.9429485425225704,-1.9045981802509253,3.4358421866543054,3.336004012597765,3.695753780646604,,val
ext_otcfm1_s1,converged,0.05115979270935059,0.3114642204807866,0.04198706953756788,62.2968931640625,2270.0,0.03494315401713054,0.46889156592003317,0.01965148645988065,17542.0,0.6955954223162036,-9.848100081529575,3.5461054595503385,3.4756169131811325,4.130407089104144,,val
ext_otcfm1_s1,coarse_thr0.5,0.06702067883809408,0.2532316463886853,0.06045889364624258,89.7038369140625,2270.0,0.05621917533874512,0.22035149406347515,0.05043540728481826,17542.0,0.7919767673301221,-6.639529262650803,3.4149674511530788,3.3228575874028867,3.6185510218607364,,val
ext_otcfm1_s1,seeded8_zero_thr0.5,0.05556837819417318,0.25323483380488787,0.048602919843782115,72.112937109375,2270.0,0.04706640294392904,0.22036451269279375,0.04095964693006644,17542.0,0.79195556374727,-6.6397645483809615,3.41510961553036,3.3228575874028867,3.618332730781278,0.9999429939573595,val
