batch,repeat,coupling,axis_dr,et_rank_corr,frac_med_lower,mean_et_loss,sd_et_loss,girth_corr
256,0,random,1.7245965850915996,-0.016491903181506062,0.69140625,5.586952209472656,11.906095504760742,-0.059849006793011444
256,0,full,1.4912872660339764,0.04673623826962691,0.70703125,5.586952209472656,11.714183807373047,-0.033213636170216485
256,0,centred,1.6469849491302249,0.061939946211947795,0.69140625,5.586952209472656,11.384915351867676,0.6961679925152306
256,0,centred-lin,1.6772042636940736,0.46367160677500563,0.74609375,5.586952209472656,9.104272842407227,0.8042760983950391
256,1,random,1.6724164217668802,0.06490973334859235,0.71484375,5.896495819091797,11.300369262695312,0.07866203477711936
256,1,full,1.44425965616,0.07400792515449758,0.69140625,5.896495819091797,11.17258358001709,-0.019457323106973217
256,1,centred,1.6213905232182562,0.13584558823529408,0.7265625,5.896495819091797,11.23330020904541,0.735444831158192
256,1,centred-lin,1.7490287915231715,0.4260943579766536,0.7578125,5.896496295928955,9.116759300231934,0.758923007404006
256,2,random,1.6818409808901662,-0.10748812657358663,0.671875,5.41892147064209,12.235261917114258,0.09006098155890181
256,2,full,1.4440260514388847,0.04141966124971389,0.6796875,5.41892147064209,11.489117622375488,-0.05781723465574965
256,2,centred,1.6852238272765123,0.15008440146486607,0.6953125,5.418920993804932,10.813053131103516,0.6651440242438292
256,2,centred-lin,1.759188064503714,0.33873168917372387,0.7421875,5.41892147064209,9.750142097473145,0.768267250581426
256,3,random,1.6620501814142095,0.056775720988784605,0.6953125,4.9004292488098145,11.31004810333252,0.16005878927328873
256,3,full,1.432078615937907,0.09935983634699014,0.6875,4.900429725646973,10.905662536621094,0.14279374160346547
256,3,centred,1.6351859803954902,0.16276178759441517,0.671875,4.9004292488098145,10.484807968139648,0.6848016741444609
256,3,centred-lin,1.6941413854116214,0.5404991130693522,0.73046875,4.900429725646973,8.02961254119873,0.7825500418877708
1024,0,random,1.694053957953182,-0.01348067243044131,0.6953125,5.487384796142578,11.94238567352295,0.007457876652646158
1024,0,full,1.3018284807451912,0.12274171196623988,0.6904296875,5.487384796142578,11.032764434814453,-0.009320161374984086
1024,0,centred,1.7066847719365335,0.2293362196910092,0.7080078125,5.487385272979736,10.365567207336426,0.7738183063734763
1024,0,centred-lin,1.6948446411366338,0.5797493920320435,0.75390625,5.487385272979736,8.017193794250488,0.8536080315375489
1024,1,random,1.6937687715963685,-0.028481683927298888,0.6826171875,5.533868312835693,11.754155158996582,-0.04292342074549012
1024,1,full,1.3723908634958035,0.14705275839491083,0.701171875,5.533868789672852,10.782634735107422,-0.014002659108725949
1024,1,centred,1.6934809883990414,0.2171623381094273,0.6982421875,5.533868789672852,10.427942276000977,0.7774921817473511
1024,1,centred-lin,1.737422588268982,0.5936794147908304,0.7685546875,5.533868789672852,7.825296401977539,0.8548561129247223
1024,2,random,1.7203029281770743,0.021156200826121165,0.7138671875,6.038812160491943,11.22346305847168,0.05510567463669413
1024,2,full,1.409157858507053,0.0804396927079608,0.7197265625,6.038812637329102,10.849015235900879,-0.024066013082136815
1024,2,centred,1.7355987326925337,0.15558167110721693,0.7255859375,6.038812160491943,10.457099914550781,0.7705308478690847
1024,2,centred-lin,1.723623064627122,0.5171782128424289,0.7763671875,6.038812160491943,8.188079833984375,0.8432617908370214
1024,3,random,1.6611839926312086,-0.018625131875402327,0.71484375,6.244889736175537,11.435544967651367,0.007664519967506961
1024,3,full,1.3953557077581402,0.10304540537157572,0.7236328125,6.244889736175537,10.731834411621094,0.06213683193584096
1024,3,centred,1.7144339584926214,0.22474867677562402,0.734375,6.244889736175537,10.094720840454102,0.7786000924920865
1024,3,centred-lin,1.7053479767041653,0.5574568387454402,0.7900390625,6.244889736175537,7.891599655151367,0.8483872554396364
