truth,model,readout,name,reference,observable,bias,rmse,rel_bias,rel_rmse,rel_res,corr,w1_sigma,within_1sd,sd_err_corr
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,et,-1.4731365442276,3.7173666954040527,-0.22888076305389404,0.5775660872459412,0.5302793383598328,0.8690752756602851,0.22894922150318672,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,mass,0.3152253031730652,1.1521891355514526,0.23402740061283112,0.8554003238677979,0.8227640986442566,0.619842381392655,0.25096278186993426,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,girth,0.008765577338635921,0.014883116818964481,0.19240702688694,0.32668885588645935,0.2640173137187958,0.9675086452501243,0.19759022511004393,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,ptd,-0.03987341374158859,0.05094888433814049,-0.38419803977012634,0.49091511964797974,0.3055970072746277,0.9526359853854061,0.3841980417673968,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,core,-0.030545875430107117,0.06279464066028595,-0.12738217413425446,0.2618657350540161,0.2287956327199936,0.9773090502881424,0.1418119661382247,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,zlead,-0.02868475392460823,0.04453374072909355,-0.2146541327238083,0.33325546979904175,0.2549172639846802,0.9682527741544464,0.2146541129079333,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,n1,-0.9041576981544495,2.089506149291992,-0.4088452458381653,0.9448403120040894,0.8518032431602478,0.6194324216077556,0.40894768908192713,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,zg,-0.02280636300364295,0.12247462315639616,-0.20299284598120276,1.0901112251445333,1.0710445311314405,0.3872499049600124,0.20299296484467136,,
val,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,rg,0.023910358127631138,0.09226288391542975,0.23982933597851142,0.9254293083686327,0.893812784867028,0.5592704986773446,0.2695704047332516,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,et,-3.741070508956909,4.99294376373291,-0.5649803280830383,0.7540395855903625,0.49937254190444946,0.882249311992738,0.5649803254312472,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,mass,-0.5670456290245056,1.2398326396942139,-0.40974292159080505,0.8958937525749207,0.7967033982276917,0.6447818281802133,0.40978028637120384,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,girth,0.001034672954119742,0.013361817225813866,0.02076253853738308,0.2681284248828888,0.26732337474823,0.963866044553221,0.021915527899736508,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,ptd,-0.007057860027998686,0.04125059396028519,-0.06512286514043808,0.3806191682815552,0.3750065863132477,0.9297822046597216,0.06512286552534889,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,core,-0.0035718220751732588,0.06016981974244118,-0.013504703529179096,0.22749608755111694,0.22709490358829498,0.9739535715068249,0.01785728318367717,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,zlead,-0.0017109353793784976,0.04188132286071777,-0.012002959847450256,0.2938157916069031,0.29357051849365234,0.9567865391907081,0.015352001172788095,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,n1,-0.9041576981544495,2.089506149291992,-0.4088452458381653,0.9448403120040894,0.8518032431602478,0.6194324216077556,0.40894768908192713,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,zg,-0.008100392939975574,0.12090755522725997,-0.0706598536722794,1.0546784857892328,1.0523088393934934,0.44331856321523533,0.0709795131172032,,
val,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,rg,-0.004806588162974991,0.08942595358965472,-0.0460884999891894,0.8574706051993201,0.8562310955283244,0.6197542003983378,0.04638630414597358,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,et,0.0058444347232580185,3.356300115585327,0.0006070401286706328,0.3486066460609436,0.348606139421463,0.9388172729303531,0.022833455630274987,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,mass,0.7606668472290039,1.3157683610916138,0.576291024684906,0.9968430399894714,0.8133787512779236,0.6695873128605334,0.5764436473943477,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,girth,0.012805571779608727,0.020468488335609436,0.25181522965431213,0.4025026857852936,0.3140024244785309,0.9531848029017213,0.26428897770828724,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,ptd,-0.064567930996418,0.07939910143613815,-0.5535040497779846,0.6806432008743286,0.396116703748703,0.9182579930055002,0.5535040347361472,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,core,-0.04476553201675415,0.08594120293855667,-0.1685193032026291,0.3235246241092682,0.27616918087005615,0.9675697379915522,0.19670117326218178,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,zlead,-0.053453635424375534,0.07324708998203278,-0.3593024015426636,0.492349237203598,0.33661484718322754,0.9427647694307033,0.35930240563738336,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,n1,-0.661332368850708,1.8613955974578857,-0.31316694617271423,0.8814442157745361,0.8239359259605408,0.6659287489423175,0.31339149356629575,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,zg,-0.019786182478474794,0.12610924933036685,-0.179110157735157,1.141576833428931,1.127438343333112,0.3263953478884095,0.17911170964639309,,
jewel,OT-CFM-unet-s0,image,OT-CFM-unet-s0,full,rg,0.03937549599158294,0.10661027919485806,0.34782995331403294,0.9417595258500451,0.8751715992346069,0.567304558006833,0.3998539052295187,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,et,-2.541029453277588,4.087087154388428,-0.2630791962146759,0.42314645648002625,0.3314245641231537,0.9449108959124735,0.2631135279003681,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,mass,-0.18464341759681702,1.0913666486740112,-0.14174433052539825,0.8378041982650757,0.8257267475128174,0.648973487506248,0.14177245577739345,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,girth,0.004191641230136156,0.018641415983438492,0.07488231360912323,0.3330228626728058,0.32449477910995483,0.9462178249771259,0.0762233472042061,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,ptd,-0.019525859504938126,0.06206493079662323,-0.16326804459095,0.5189640522003174,0.49261265993118286,0.8754052258599385,0.16326804527582783,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,core,-0.014378256164491177,0.08110296726226807,-0.048773787915706635,0.2751167416572571,0.27075883746147156,0.9626487386379635,0.0559231812803731,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,zlead,-0.015936793759465218,0.06478630006313324,-0.10123634338378906,0.4115462899208069,0.3989003896713257,0.9184859787246847,0.10123634553168526,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,n1,-0.661332368850708,1.8613955974578857,-0.31316694617271423,0.8814442157745361,0.8239359259605408,0.6659287489423175,0.31339149356629575,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,zg,-0.0059565293407097,0.12526039130200217,-0.05269911473414956,1.1082144240864567,1.106960709808399,0.38597803501863825,0.0527822740066843,,
jewel,OT-CFM-unet-s0,thr0.5,"OT-CFM-unet-s0, thr0.5",thr,rg,0.007651891115882667,0.10259496902166318,0.06532348402611812,0.8758437252375381,0.8734043012675502,0.6139993075587024,0.07702718613207353,,
