family,arm,seed,run,net,hours_trained,final_jer_cal,final_l1_sig,best_jer_cal,best_hours,best_step,best_l1_sig,best_mse_sig,best_jes,jewel_jer_cal,jewel_l1_sig,ms_per_event,h_T_useful,h_T_useful_interp,h_T_acc,h_T_acc_interp,h_T_match,h_T_match_interp,train_eval_time,train_load_time,train_startup_time,train_end_to_end_time,train_steps_per_s,train_samples_per_s,train_coupling_frac,train_peak_mem_gb,train_n_params
uvcgan-s,uvcgan-s batch 32,0,base_b32_lr5e-5,ema,24.768161118084357,3.595764626844713,0.0332428001403808,3.595764626844713,24.768161118084357,140000,0.0332428001403808,0.0234072210311889,0.9439782327231228,4.117920943942303,0.0280301980336507,0.27366878092288965,6.698437662468188,5.268373080366232,8.376048438830509,7.85484887703522,11.811715686147412,10.62606669054811,,,,,,,,,
uvcgan-s,uvcgan-s batch 32,0,base_b32_lr5e-5,raw,24.768161118084357,3.635868684050223,0.0307389080047607,3.5914306375177283,15.507153830010857,90000,0.0292720899581909,0.0215687612533569,0.908773512947267,,,0.27366878092288965,3.339072727846603,2.677291767228868,8.376048438830509,8.280153900158599,15.507153830010857,14.122587509311638,,,,,,,,,
uvcgan-s,uvcgan-s batch 32,1,base_b32_lr5e-5_s1,ema,23.964756668456314,3.603857505393641,0.0318046655019124,3.603857505393641,23.964756668456314,140000,0.0318046655019124,0.0228691444396972,0.9398633641592192,4.149454304931091,0.0264080123265584,0.27366878092288965,5.180319084386444,4.996040143690362,8.621062409668747,8.342570880386742,15.46093217185181,14.261680068788138,,,,,,,,,
uvcgan-s,uvcgan-s batch 32,1,base_b32_lr5e-5_s1,raw,23.964756668456314,3.793821407430449,0.0284947416941324,3.674831204797055,10.356945299903552,60000,0.0317381522496541,0.0223056772232055,0.9373748015177252,,,0.27366878092288965,3.417132566983087,2.256780446591976,,9.61932232714003,,,,,,,,,,,
uvcgan-s,uvcgan-s batch 32,2,base_b32_lr5e-5_s2,ema,25.337591641661195,3.677782160467854,0.0339628060658772,3.652394244625326,23.629818964997927,140000,0.03434703540802,0.0245274550755818,0.9385684480366532,3.999801546968972,0.0295134514490763,0.27366878092288965,6.74379250454406,5.993823640238681,15.213086835549523,14.01767735860272,,,,,,,,,,,
uvcgan-s,uvcgan-s batch 32,2,base_b32_lr5e-5_s2,raw,25.337591641661195,3.877659499111804,0.0298316474278767,3.6576132255902594,11.802076226845383,70000,0.0418723170598347,0.0260183720270792,1.004024378186949,,,0.27366878092288965,3.3771566853796444,2.5995186020256638,11.802076226845383,11.490637065471168,,,,,,,,,,,
uvcgan-s,uvcgan-s batch 4,0,base_b4_lr5e-5_s0,ema,24.56512624203952,3.653129563561021,0.031500791867574,3.629877095279789,18.884530930361812,130000,0.0332301931381225,0.0246681708017985,0.9409761051955572,3.904762596738673,0.0282017152150472,0.27366878092288965,5.901804917117373,5.360208128777472,14.726946084772548,14.04664521212882,17.498735583602553,17.257596542110083,,,,,,,,,
uvcgan-s,uvcgan-s batch 4,0,base_b4_lr5e-5_s0,raw,24.56512624203952,3.718644389667008,0.0293702898025512,3.679197850514724,16.114120993624546,110000,0.031603836886088,0.0221791806538899,0.8684110388781847,,,0.27366878092288965,4.514358333759009,3.556889488288177,,15.694488146707345,,,,,,,,,,,
uvcgan-s,uvcgan-s batch 4,1,base_b4_lr5e-5_s1,ema,24.721864278796648,3.6315979683061568,0.0325815844217936,3.624045772822241,23.35870243637305,170000,0.0321750149408976,0.0231264346440633,0.9400049235578216,3.992309382097881,0.0267428024927775,0.27366878092288965,5.500327225000494,4.321987248515652,16.531173096183274,15.242900129449488,17.89945920455166,17.724583056398487,,,,,,,,,
uvcgan-s,uvcgan-s batch 4,1,base_b4_lr5e-5_s1,raw,24.721864278796648,3.947963639609521,0.0293975362141927,3.629403289071595,17.89945920455166,130000,0.0381059624989827,0.0247410520553588,0.9205898416163628,,,0.27366878092288965,4.137174409990095,3.6626183569951323,20.624072827152492,17.20292615669474,,17.696244498793785,,,,,,,,,
uvcgan-s,uvcgan-s batch 4,2,base_b4_lr5e-5_s2,ema,23.999550306279627,3.672029511633939,0.0310849444071451,3.663819946487138,21.084110206595312,150000,0.03170605691274,0.0233101125717163,0.9403782034519552,4.033399528855298,0.0263074544906616,0.27366878092288965,5.400059511595302,4.918390162801422,16.705663327396742,15.554320838047776,,,,,,,,,,,
uvcgan-s,uvcgan-s batch 4,2,base_b4_lr5e-5_s2,raw,23.999550306279627,3.74408361506112,0.0349022064208984,3.703125127309719,21.084110206595312,150000,0.0352168210983276,0.0237826613744099,0.9357742271075352,,,0.27366878092288965,2.734881128428711,2.6256242318140934,,,,,,,,,,,,,
