batch,repeat,setup,corr,hit,n_jets,jes,bias,jer,jer_iqr,jer_cal
256,0,random,-0.05635653497105281,0.05309734493494034,226,0.1087379479344765,-28.88520377927122,9.804226646452557,7.279264564598994,-113.08636847410688
256,0,"empty start, log",0.06975000947457971,0.03097345121204853,226,0.06561345884388645,-30.037603091349645,7.626778372842842,6.360687795968476,91.29395601080213
256,0,"empty start, GeV",-0.01394788111216584,0.044247787445783615,226,0.10597557466261111,-28.873671481039672,9.628347352590339,7.021799716709101,-457.6092823981481
256,0,"mixture start, log",0.1385257215334641,0.2699114978313446,226,0.4250162177951741,-18.68340796495961,13.995084753236581,16.28647317172334,45.63598942361036
256,0,"mixture start, GeV",0.2504573390793519,0.2654867172241211,226,0.4400606011918951,-17.968229268504455,13.931654439205294,16.300425518875745,24.674261703737454
256,0,"mix -> PYTHIA, log",0.059898476969807934,0.3362831771373749,226,0.5139839713755308,-16.12295617888459,14.04603386954297,17.540917562678445,106.37731963989246
256,0,"mix -> PYTHIA, GeV",0.246961505642047,0.37168142199516296,226,0.5993445881358985,-12.990743687722535,13.028474180253504,14.464192075849551,25.04673718546499
256,0,"mix -> HIJING, log",0.5694885163211522,0.7035398483276367,226,0.9491486670733944,-1.6484903149900183,8.36929835494319,8.685262579666942,9.213651501070839
256,0,"mix -> HIJING, GeV",0.5353424099487113,0.6592920422554016,226,0.9099733205595223,-2.9780756941938824,8.348866136655122,8.37317460373298,10.071236680121796
256,1,random,-0.0408860771449353,0.048672568053007126,226,0.10131448577460168,-29.69998655066026,9.640121269226576,7.205067783748777,-159.0310359253748
256,1,"empty start, log",0.09099099291124634,0.044247787445783615,226,0.08920405344052124,-29.933116566818374,8.788585571760624,6.565091519818826,71.22244949134789
256,1,"empty start, GeV",-0.04063223907893564,0.05309734493494034,226,0.10225704843169349,-29.764418922694382,9.410333572275627,6.471551198089803,-160.02619436540326
256,1,"mixture start, log",0.06405098712629122,0.24336282908916473,226,0.41507934773151234,-19.560042039482994,14.409360690258266,15.953522067851186,101.39163391440921
256,1,"mixture start, GeV",0.17052953710298402,0.29203540086746216,226,0.4134322448755923,-19.29496245679602,14.457312452312747,17.292465962154765,37.602149556527834
256,1,"mix -> PYTHIA, log",0.13883618143952395,0.3495575189590454,226,0.541970400236513,-15.37993850539216,13.63652742004034,16.079790597495723,46.41854140006008
256,1,"mix -> PYTHIA, GeV",0.11616931933047657,0.389380544424057,226,0.5605833739877746,-14.783065272643503,14.079839074537357,15.63110203103192,55.63892962741099
256,1,"mix -> HIJING, log",0.6814287999727872,0.6592920422554016,226,0.9412025006115095,-1.813200942182963,7.188207860689652,7.493978080438454,6.989444266969315
256,1,"mix -> HIJING, GeV",0.5637429660221195,0.6681416034698486,226,0.9081796005013376,-3.191069586087117,7.8360143624054,7.450954219515541,9.534400786372018
256,2,random,0.05433623527217638,0.017621144652366638,227,0.07972449831277427,-29.96553371446248,8.543624698842018,7.111713389629254,122.0107673642605
256,2,"empty start, log",0.04940357592466967,0.039647575467824936,227,0.09758455606466412,-29.356484602201352,9.641377754595673,7.301868554660353,134.22726330920517
256,2,"empty start, GeV",-0.11242649207043262,0.05726872384548187,227,0.1213754393844362,-28.875313166479707,11.019358741411986,7.880587680327442,-58.68119234875293
256,2,"mixture start, log",0.022512896642118196,0.27753305435180664,227,0.4398569170556408,-18.641455125178535,14.29290435228914,16.79748849041644,294.8412885632448
256,2,"mixture start, GeV",0.23355975816914082,0.2951541841030121,227,0.46039942742918877,-17.434015551327608,14.480976921333042,17.11006037299946,27.64082441003891
256,2,"mix -> PYTHIA, log",0.10138949077493006,0.33039647340774536,227,0.5177583478670914,-16.027822906225264,14.194229644123192,15.536069339783303,65.14679154601014
256,2,"mix -> PYTHIA, GeV",0.12247927215465099,0.40528634190559387,227,0.604953030696615,-13.275522248860497,14.003653718004397,17.187305164832022,53.80034031138117
256,2,"mix -> HIJING, log",0.6473273701889597,0.7136563658714294,227,0.9569840032255352,-1.282591891183727,8.191360212906588,6.865357893144227,7.817747293653512
256,2,"mix -> HIJING, GeV",0.6002601641402555,0.7268722653388977,227,0.9159607120880676,-2.7052082364254586,8.372481192679523,9.056170486891332,8.846556431759542
