model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,E_out_over_E_in,E_out_over_E_in_sd,E_out_over_E_true,E_out_over_E_true_rmse,dmass_true_mean,dmass_true_sd,dmass_bias,dmass_rmse,dgirth_true_mean,dgirth_true_sd,dgirth_bias,dgirth_rmse,empty_towers,halo_signed_gev,halo_clipped_gev,tower=0_mean,tower=0_rms,tower<0.2_mean,tower<0.2_rms,tower0.2-1_mean,tower0.2-1_rms,tower1-5_mean,tower1-5_rms,tower>5_mean,tower>5_rms,setting,step,train_time_min,updates,pairing,cost,ms_per_jet
identity F(J) = J,20000,1.0,0.0,6.484475135803223,6.614656925201416,0.22314350306987762,0.22314351797103882,7.033241102832303,0.032246836725914295,0.03166909826588044,0.24320357557639927,1.0,0.0,1.25,0.24999994039535522,-0.958843469619751,0.3135266900062561,0.958843469619751,1.0088012218475342,0.0031971787102520466,0.0030299932695925236,-0.0031971787102520466,0.004404861945658922,1.292949914932251,0.0,0.0,0.0,0.0,-0.023116348311305046,0.04781193286180496,-0.001590334577485919,0.21689359843730927,0.7223188877105713,0.9338088631629944,4.045337200164795,4.4524736404418945,,,,,,,
closure_paired_s0,20000,0.7996630072593689,0.0004487427941057831,-0.011249566450715065,0.020608142018318176,-0.0004215712542645633,0.0007022235658951104,0.015312437662819992,0.00015768405648066805,0.00013568452864484314,0.0006657721033753727,0.7996630072593689,0.0004487427941057831,0.9995787143707275,0.0007015374721959233,-0.958843469619751,0.3135266900062561,-0.002131802961230278,0.0033937999978661537,0.0031971787102520466,0.0030299932695925236,-2.5270758214901434e-06,2.5147051928797737e-05,1.292949914932251,-3.777694655582309e-05,6.130992005637381e-06,4.741863449453376e-06,1.3180278983782046e-05,-2.152976048819255e-05,0.0001452909200452268,-6.855474930489436e-05,0.0006695306510664523,-0.0009070666274055839,0.002389823319390416,-0.005753754638135433,0.013921903446316719,midpoint32,89830.0,120.0121255700787,89830.0,paired,l2,2.924064451828599
closure_l2_s0,20000,0.7847779989242554,0.07899888604879379,-0.6794777512550354,2.830723285675049,-0.024720219895243645,0.11026574671268463,3.563465521392568,0.08960861804864913,0.07684838426389362,0.13686600834593998,0.7847779989242554,0.07899888604879379,0.9809724688529968,0.10056507587432861,-0.958843469619751,0.3135266900062561,0.07443605363368988,0.5542349815368652,0.0031971787102520466,0.0030299932695925236,0.0004435021255631,0.014424627646803856,1.292949914932251,0.00038483619573526084,0.0005503580323420465,0.00042566072079353034,0.0014853059547021985,0.03464444354176521,0.0884946659207344,0.022682882845401764,0.21045824885368347,-0.11185773462057114,0.7775349617004395,-1.8218348026275635,3.4403464794158936,midpoint32,56060.0,80.00418920889497,56060.0,unpaired,l2,2.9397895827889444
closure_se1_s0,20000,0.8079425692558289,0.037494972348213196,0.22396495938301086,1.324338674545288,0.008772790431976318,0.048209160566329956,2.866180466883846,0.09138031329844856,0.08250502054134595,0.10799694343455454,0.8079425692558289,0.037494972348213196,1.0099282264709473,0.047908708453178406,-0.958843469619751,0.3135266900062561,0.13996858894824982,0.5430747270584106,0.0031971787102520466,0.0030299932695925236,-0.0022708994802087545,0.014637638814747334,1.292949914932251,-5.565221727010794e-05,0.00023810038692317903,0.0001841528428485617,0.0016544538084417582,0.04267774894833565,0.12279383838176727,0.024685701355338097,0.27885058522224426,-0.13981354236602783,0.7605430483818054,-0.8684486150741577,2.1643762588500977,midpoint32,74720.0,110.00235242657364,74720.0,unpaired,shape_energy,2.951213551312685
