model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,E_out_over_E_in,E_out_over_E_in_sd,E_out_over_E_true,E_out_over_E_true_rmse,dmass_true_mean,dmass_true_sd,dmass_bias,dmass_rmse,dgirth_true_mean,dgirth_true_sd,dgirth_bias,dgirth_rmse,empty_towers,halo_signed_gev,halo_clipped_gev,tower=0_mean,tower=0_rms,tower<0.2_mean,tower<0.2_rms,tower0.2-1_mean,tower0.2-1_rms,tower1-5_mean,tower1-5_rms,tower>5_mean,tower>5_rms,setting,step,train_time_min,updates,pairing,cost,ms_per_jet
identity F(J) = J,20000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.93117866431754e-20,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55259895324707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
closure_null_se1_s0,20000,0.9990155100822449,0.006482349708676338,-0.039378572255373,0.2371368259191513,-0.0010060279164463282,0.006583507172763348,0.21687218243233947,0.003256580344111384,0.002770927848823928,0.011458515589059859,0.9990155100822449,0.006482349708676338,0.9990155100822449,0.006556671112775803,0.0,0.0,-0.0011964724399149418,0.03446388244628906,0.0,0.0,7.566567364847288e-05,0.000513426901306957,16.55259895324707,-0.001548641244880855,0.0015437767142429948,9.326491999672726e-05,0.00017761392518877983,0.0004489980638027191,0.0035626485478132963,0.0005708186072297394,0.011597641743719578,0.001658483175560832,0.03826296329498291,-0.04546584561467171,0.18888840079307556,midpoint32,55200.0,80.01052081001302,55200.0,unpaired,shape_energy,2.95154249407351
