model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,step,train_time
closure_l2_s0,5000,0.7870236039161682,0.08587272465229034,-0.6161916255950928,3.074794054031372,-0.022990228608250618,0.12107089906930923,3.716859841810681,0.09052448518097038,0.07874704180894132,0.05956914673025615,7020,600.6255634650588
closure_l2_s0,5000,0.7865119576454163,0.08113696426153183,-0.6143501400947571,2.9203033447265625,-0.02288183756172657,0.11384328454732895,3.6114980445098257,0.08934399852641867,0.07803942210499865,0.07537969687490742,14030,1200.8357468396425
closure_l2_s0,5000,0.7840127944946289,0.07988376170396805,-0.6974537968635559,2.8976144790649414,-0.025860076770186424,0.11224749684333801,3.6092737808243305,0.08954282737478847,0.07736375047855215,0.08896928867879314,21030,1800.0342751815915
closure_l2_s0,5000,0.7823014259338379,0.07912608236074448,-0.7506522536277771,2.886268377304077,-0.027961688116192818,0.11196180433034897,3.584220407765652,0.08942094698060153,0.07739969220782153,0.11254124982588742,28060,2400.7207804471254
closure_l2_s0,5000,0.7816214561462402,0.07884643971920013,-0.7726297974586487,2.8766531944274902,-0.02879352495074272,0.1117754876613617,3.573776422396327,0.08930795886294536,0.07756555312739619,0.12005385453231329,35050,3000.10465272516
closure_l2_s0,5000,0.7822267413139343,0.07783719897270203,-0.7536009550094604,2.8352534770965576,-0.02785087190568447,0.10982397943735123,3.550376771227283,0.08918046468408183,0.07759172771122386,0.14092461830723169,42060,3600.135662101209
closure_l2_s0,5000,0.7824666500091553,0.07779982686042786,-0.7481990456581116,2.831037759780884,-0.027527080848813057,0.10953056812286377,3.552225911101416,0.08912379912252599,0.07750599890701243,0.13681861722508618,49070,4200.179333560169
closure_l2_s0,5000,0.7826690673828125,0.07778074592351913,-0.74277663230896,2.8322927951812744,-0.027262842282652855,0.10940012335777283,3.548785660091578,0.08903732141857763,0.07745046398401206,0.14272093415872683,56060,4800.251352533698
closure_l2_s0,5000,0.7817898392677307,0.07811281830072403,-0.7704764604568481,2.849141836166382,-0.02844446711242199,0.11024787276983261,3.571892334857046,0.08974798160355682,0.077754481486555,0.15150897287320364,63060,5400.803686611354
closure_l2_s0,5000,0.7814311981201172,0.07855256646871567,-0.7819231748580933,2.8672101497650146,-0.02897297963500023,0.11105901747941971,3.5912463095005327,0.09005783130844502,0.0781461471120935,0.1542568333144753,70050,6000.005626633763
closure_l2_s0,5000,0.7813884615898132,0.0789099782705307,-0.7822721600532532,2.8821232318878174,-0.029082324355840683,0.11162560433149338,3.605242755303149,0.09034459286969901,0.07839573548506817,0.15229817894821712,77050,6600.720843046904
closure_l2_s0,5000,0.7808485627174377,0.07898136973381042,-0.7992376685142517,2.8874480724334717,-0.029784344136714935,0.11187680810689926,3.6185568589023243,0.09080341536056387,0.0788852272061773,0.15163775479748282,84040,7200.742723464966
