model,n,response_mean,response_sd,E_bias_gev,E_rmse_gev,logE_bias,logE_rmse,emd_gev,shape_emd,shape_emd_median,joint_corr_maxdiff,step,train_time
closure_se1_pool1024_s0,5000,0.7840117812156677,0.04698516055941582,-0.6082535982131958,1.806410312652588,-0.02211018092930317,0.06696531176567078,2.6777074987005713,0.07676177541261349,0.07064596154705771,0.0702820826757185,1810,602.7091893032193
closure_se1_pool1024_s0,5000,0.791238009929657,0.04019911214709282,-0.3433108627796173,1.4709703922271729,-0.012362693436443806,0.05404405668377876,2.5327914672517995,0.07590031169928398,0.0699289609266188,0.046954692974348844,3210,1202.8382944762707
closure_se1_pool1024_s0,5000,0.7946133017539978,0.03587055951356888,-0.220396488904953,1.2872822284698486,-0.007810148410499096,0.047008782625198364,2.463669242110281,0.07649899162864432,0.070038655077796,0.04206969637965463,4640,1804.3281786441803
closure_se1_pool1024_s0,5000,0.7994942665100098,0.03407857194542885,-0.05917639285326004,1.2078369855880737,-0.00156685512047261,0.04359707981348038,2.4338216903791468,0.07609165904174431,0.0700619763034344,0.039316042735798695,6030,2401.614361524582
closure_se1_pool1024_s0,5000,0.8006385564804077,0.03392864763736725,-0.02920040860772133,1.1914235353469849,-0.0001256047689821571,0.04331359639763832,2.443722832351127,0.0768254963779653,0.07024184308090911,0.026341080644462556,7440,3002.6571600437164
closure_se1_pool1024_s0,5000,0.8011347055435181,0.03338458761572838,-0.011735761538147926,1.1812034845352173,0.0005245080683380365,0.04259016364812851,2.4445313306689,0.07698589319597783,0.07085181278807677,0.036758882601836185,8820,3602.9861224144697
closure_se1_pool1024_s0,5000,0.8022708296775818,0.03323640674352646,0.024732358753681183,1.1731929779052734,0.0019531804136931896,0.04234055057168007,2.439572082873885,0.07690675765989742,0.07047050856769427,0.030478980299082747,10220,4204.7121927291155
closure_se1_pool1024_s0,5000,0.8016806840896606,0.032436173409223557,0.004814864136278629,1.142120361328125,0.00126159586943686,0.04119149222970009,2.4093556008985804,0.076428629402243,0.07009511358592396,0.0289986248355531,11610,4801.583862058818
closure_se1_pool1024_s0,5000,0.8017789721488953,0.03222764655947685,0.01130486186593771,1.1368024349212646,0.001396395149640739,0.0408795140683651,2.395355677869323,0.07600592128524872,0.0696192626599319,0.03778330280508735,13010,5401.65913374722
closure_se1_pool1024_s0,5000,0.8017755150794983,0.032086338847875595,0.0108727952465415,1.1406017541885376,0.0013935909373685718,0.040914054960012436,2.4010871254335697,0.07638909556239515,0.07044245632995982,0.03500709061373758,14380,6000.936944484711
closure_se1_pool1024_s0,5000,0.8017930388450623,0.03169812634587288,0.010444811545312405,1.1310583353042603,0.0014346013776957989,0.0404481515288353,2.38018733847895,0.0758140146295393,0.06973645026922837,0.039426713921452305,15780,6600.372479468584
closure_se1_pool1024_s0,5000,0.8012237548828125,0.0312926359474659,-0.00462145684286952,1.1146193742752075,0.0007452511927112937,0.03987664356827736,2.3802911303572887,0.07609785298188146,0.06968889788394673,0.044375093467486026,17190,7202.5211375281215
